,Food Name,GI,Serving Size,Carb Serving,GL
0,"Cake, NS, decreased GI variant, sugar-to-flour ratio: 0.80",20,NaN,30,6
1,"Carrot cake, prepared with wheat flour and coconut flour",37,NaN,30,11
2,Chocolate cake made from packet mix with chocolate frosting,38,NaN,30,11
3,Chocolate mudcake ,43,NaN,30,13
4,Christmas fruit cake ,53,NaN,30,16
5,"Cupcake, strawberry-iced",73,NaN,30,22
6,"Plumcake, prepared with wheat flour and yogurt",47,NaN,30,14
7,Pound cake 0% ,38,NaN,30,11
8,"Raspberry Coffee cake, President's Choice® Blue Menu™ ",50,NaN,30,15
9,"Sponge cake, filled with marmalade and yogurt cream ",57,NaN,30,17
10,"Sponge cake with cocoa, milk cream-filled, coated with chocolate",58,NaN,30,17
11,"Sponge cake with cocoa, milk cream-filled, coated with chocolate and coconut pieces (Kinder Délice Cocco)",56,NaN,30,17
12,"Sponge cake, soft wheat flour, carrots (14%), almonds (7%) (Camille, Mulino Bianco)",51,NaN,30,15
13,"Sponge cake, soft wheat flour, filled with chocolate cream (Kinder Pan e Cioc Cacao)",61,NaN,30,18
14,"Sponge cake, soft wheat flour, ground cereals (rice, barley, rye, oat, wheat) and cocoa, filled with barley malt cream (Kinder colazione più)",66,NaN,30,20
15,"Sponge cake, soft wheat flour, orange cream-filled, coated with chocolate, Fiesta",60,NaN,30,18
16,"Sponge cake, soft wheat flour, with almond and chocolate pieces (Brioche Cereali e Cioccolato, Grancereale)",66,NaN,30,20
17,"Sponge cake, wheat flour, rolled barley and oat (2.5%), filled with apricot jam (Brioss Albicocca ecereali)",60,NaN,30,18
18,"Vanilla cake, made from packet mix with vanilla frosting",42,NaN,30,13
19,"Cake, prepared with yoghurt, gluten-free (Plum cake)",42,NaN,30,13
20,"Cake, prepared with brown rice, corn, millet and buckwheat, gluten-free (Gallette Chicchi al vento, Grancereale)",67,NaN,30,20
21,"Croissant, all butter ",45,NaN,30,14
22,Croissant,67,NaN,30,20
23,"Apple Berry crumble, President's Choice® Blue Menu™",41,NaN,30,12
24,"Bavarian (mousse filling on biscuit base), Chocolate honeycomb, light",31,NaN,30,9
25,"Danish Pastry, Apple & Peach, light ",50,NaN,30,15
26,"Fruit mince pies, shortcrust pastry case filled with dried fruit ",58,NaN,30,17
27,"Pavlova, meringue base topped with whipped cream, fresh strawberries, banana and passionfruit pulp ",49,NaN,30,15
28,Gingerbread,81,NaN,30,24
29,Gingerbread,88,NaN,30,26
30,Gingerbread,89,NaN,30,27
31,Apple Blueberry muffin,49,NaN,30,15
32,"Apple, oat, sultana muffin",54,NaN,30,16
33,"Apricot, coconut and honey muffin",60,NaN,30,18
34,"Banana, oat and honey muffin",65,NaN,30,20
35,Blueberry muffin,50,NaN,30,15
36,"Blueberry (Wild) 10-Grain muffin, President's Choice® Blue Menu™",57,NaN,30,17
37,Chocolate butterscotch muffin,53,NaN,30,16
38,Chocolate chip muffin,52,NaN,30,16
39,"Cranberry & Orange Soy muffin, President's Choice® Blue Menu™",48,NaN,30,14
40,Cranberry Raisin muffin,43,NaN,30,13
41,Double chocolate muffin,46,NaN,30,14
42,"Raisin Bran Flax muffin, President's Choice® Blue Menu™",52,NaN,30,16
43,"Raspberry Pomegranate muffin, President's Choice® Blue Menu™",58,NaN,30,17
44,"Muffin, made with 14% soft wheat flour, 7% lentil flour, 5% resistant starch and 3% dextrins",39,NaN,30,12
45,Muffin made with oat flour,54,NaN,30,16
46,Muffin made with barley flour,55,NaN,30,17
47,Muffin made with corn flour,74,NaN,30,22
48,Muffin made with wheat flour,74,NaN,30,22
49,Muffin made with rice flour,79,NaN,30,24
50,"Pancakes, prepared with wheat flour and coconut flour",46,NaN,30,14
51,"Pancakes, prepared from wheat flour and water",61,NaN,30,18
52,"Pancakes, prepared from shake mix",67,NaN,30,20
53,"Pancakes, millet (100% foxtail millet flour)",76,NaN,30,23
54,"Pancakes, prepared from wheat flour",80,NaN,30,24
55,"Pancakes, millet (75% foxtail millet flour, 25% extrusion flour (w/w, dry basis)",83,NaN,30,25
56,"Pancakes, buckwheat, gluten-free, made from packet mix",102,NaN,30,31
57,"Pancakes, gluten-free, made from packet mix",61,NaN,30,18
58,"Brownies, containing wheat flour and coconut flour",43,NaN,30,13
59,"Cinnamon bread, prepared with wheat flour and coconut flour",45,NaN,30,14
60,Doughnut,75,NaN,30,23
61,"Hot cross buns, spiced sweet bun with dried fruit",59,NaN,30,18
62,"Hot cross buns, spiced sweet bun with dried fruit",66,NaN,30,20
63,"Pan de sal (sweet bread roll), containing wheat flour and coconut flour",62,NaN,30,19
64,"Pastry, puff ",56,NaN,30,17
65,"Pastry, puff, with wheat flour and sugar",47,NaN,30,14
66,"Pikelets, Golden brand",85,NaN,30,26
